"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.977928903E0,2.397613525E1,-1.451416016E1,-4.261016846E1,5.100139569E1
4.992943551E0,2.382659912E1,-1.406402588E1,-4.350891113E1,5.156092510E1
5.013085153E0,2.307739258E1,-1.541442871E1,-4.216003418E1,5.047414331E1
5.033226754E0,2.247619629E1,-1.331481934E1,-4.305877686E1,5.036389657E1
5.053307321E0,2.397613525E1,-1.421508789E1,-4.395904541E1,5.205114272E1
5.073540475E0,2.322692871E1,-1.556396484E1,-4.290924072E1,5.121455026E1
5.093651559E0,2.352600098E1,-1.496429443E1,-4.485931396E1,5.281818701E1
5.113823678E0,2.427673340E1,-1.616363525E1,-4.261016846E1,5.163573709E1
5.133934762E0,2.307739258E1,-1.466369629E1,-4.275970459E1,5.075413652E1
5.154076364E0,2.352600098E1,-1.436462402E1,-4.440917969E1,5.226844541E1
5.174217965E0,2.487640381E1,-1.676483154E1,-4.411010742E1,5.334413388E1
5.194359567E0,2.517700195E1,-1.466369629E1,-4.411010742E1,5.286404253E1
5.214531686E0,2.532653809E1,-1.556396484E1,-4.290924072E1,5.220032062E1
5.234673287E0,2.427673340E1,-1.556396484E1,-4.365997314E1,5.232389551E1
5.254814889E0,2.397613525E1,-1.481475830E1,-4.470977783E1,5.285164481E1
5.274925973E0,2.502593994E1,-1.661376953E1,-4.561004639E1,5.461310593E1
5.296715524E0,2.307739258E1,-1.406402588E1,-4.245910645E1,5.033029497E1
5.315239694E0,2.517700195E1,-1.601409912E1,-4.350891113E1,5.275754113E1
5.335381295E0,2.292633057E1,-1.451416016E1,-4.290924072E1,5.076889222E1
5.355522897E0,2.202606201E1,-1.466369629E1,-4.350891113E1,5.092344003E1
5.375603463E0,2.367706299E1,-1.526489258E1,-4.500885010E1,5.309818118E1
5.397118356E0,2.367706299E1,-1.721496582E1,-4.290924072E1,5.194382831E1
5.415947701E0,2.322692871E1,-1.556396484E1,-4.470977783E1,5.273226197E1
5.436089303E0,2.082672119E1,-1.346435547E1,-4.125976562E1,4.813947905E1
5.456200387E0,2.412719727E1,-1.541442871E1,-4.411010742E1,5.258733533E1
5.476372506E0,2.487640381E1,-1.496429443E1,-4.380950928E1,5.255510135E1
5.496514108E0,2.502593994E1,-1.526489258E1,-4.500885010E1,5.371323117E1
5.516594674E0,2.562713623E1,-1.526489258E1,-4.635925293E1,5.512664863E1
5.536797311E0,2.112731934E1,-1.466369629E1,-4.350891113E1,5.054120061E1
5.556938912E0,2.367706299E1,-1.556396484E1,-4.425964355E1,5.255241537E1
5.577080514E0,2.397613525E1,-1.586456299E1,-4.335937500E1,5.202475200E1
5.597191598E0,2.427673340E1,-1.451416016E1,-4.395904541E1,5.227253871E1
5.617333199E0,2.307739258E1,-1.496429443E1,-4.350891113E1,5.147350293E1
5.637505319E0,2.352600098E1,-1.466369629E1,-4.380950928E1,5.184370563E1
5.657616403E0,2.082672119E1,-1.421508789E1,-4.261016846E1,4.951209443E1
5.677758004E0,2.382659912E1,-1.601409912E1,-4.305877686E1,5.175148752E1
5.698021676E0,2.367706299E1,-1.421508789E1,-4.261016846E1,5.077694843E1
5.718041207E0,2.412719727E1,-1.406402588E1,-4.440917969E1,5.246040137E1
5.738182809E0,2.487640381E1,-1.571502686E1,-4.305877686E1,5.215223677E1
5.758660104E0,2.532653809E1,-1.481475830E1,-4.530944824E1,5.398015093E1
5.778466012E0,2.502593994E1,-1.421508789E1,-4.395904541E1,5.254297353E1
5.798638131E0,2.397613525E1,-1.616363525E1,-4.365997314E1,5.236708338E1
5.819298532E0,2.412719727E1,-1.406402588E1,-4.411010742E1,5.220747120E1
5.838921334E0,2.472686768E1,-1.556396484E1,-4.365997314E1,5.253425779E1
5.859062936E0,2.487640381E1,-1.646423340E1,-4.380950928E1,5.300169385E1
5.879967477E0,2.442626953E1,-1.541442871E1,-4.590911865E1,5.423923332E1
5.899346139E0,2.412719727E1,-1.706390381E1,-4.411010742E1,5.309425617E1
5.919457223E0,2.292633057E1,-1.451416016E1,-4.395904541E1,5.165922136E1
5.940605905E0,2.472686768E1,-1.556396484E1,-4.290924072E1,5.191202102E1
5.959770944E0,2.472686768E1,-1.556396484E1,-4.290924072E1,5.191202102E1
5.979882028E0,2.367706299E1,-1.616363525E1,-4.290924072E1,5.160493538E1
6.001244332E0,2.277679443E1,-1.601409912E1,-4.275970459E1,5.102573931E1
6.020195748E0,2.592620850E1,-1.676483154E1,-4.545898438E1,5.495222583E1
6.040337350E0,2.502593994E1,-1.661376953E1,-4.500885010E1,5.411202819E1
6.061791207E0,2.397613525E1,-1.586456299E1,-4.561004639E1,5.391489360E1
6.080620553E0,2.502593994E1,-1.691436768E1,-4.425964355E1,5.358460181E1
6.100762155E0,2.472686768E1,-1.616363525E1,-4.425964355E1,5.321275352E1
6.120903756E0,2.487640381E1,-1.541442871E1,-4.305877686E1,5.206244657E1
6.141014840E0,2.532653809E1,-1.421508789E1,-4.395904541E1,5.268680982E1
6.161156442E0,2.562713623E1,-1.796417236E1,-4.500885010E1,5.482023520E1
6.181298043E0,2.547607422E1,-1.436462402E1,-4.590911865E1,5.443362891E1
6.201470162E0,2.592620850E1,-1.676483154E1,-4.515991211E1,5.470507769E1
6.221611764E0,2.352600098E1,-1.541442871E1,-4.380950928E1,5.206102609E1
6.241722848E0,2.532653809E1,-1.421508789E1,-4.606018066E1,5.445220379E1
6.261894967E0,2.382659912E1,-1.466369629E1,-4.440917969E1,5.248719896E1
6.282036569E0,2.532653809E1,-1.526489258E1,-4.425964355E1,5.322937652E1
6.302147653E0,2.292633057E1,-1.586456299E1,-4.290924072E1,5.117131942E1
6.322289254E0,2.592620850E1,-1.646423340E1,-4.275970459E1,5.264628767E1
6.342461373E0,2.517700195E1,-1.571502686E1,-4.485931396E1,5.378848897E1
6.362602975E0,2.292633057E1,-1.556396484E1,-4.425964355E1,5.221848028E1
6.382744576E0,2.487640381E1,-1.496429443E1,-4.440917969E1,5.305601582E1
6.402855660E0,2.352600098E1,-1.571502686E1,-4.515991211E1,5.329026602E1
6.422997262E0,2.382659912E1,-1.571502686E1,-4.305877686E1,5.165972473E1
6.443169381E0,2.442626953E1,-1.541442871E1,-4.620971680E1,5.449390041E1
6.463310983E0,2.592620850E1,-1.436462402E1,-4.590911865E1,5.464574902E1
6.483788278E0,2.382659912E1,-1.496429443E1,-4.515991211E1,5.320765542E1
6.503563668E0,2.412719727E1,-1.541442871E1,-4.380950928E1,5.233545035E1
6.524071481E0,2.562713623E1,-1.691436768E1,-4.635925293E1,5.560599138E1
